"","Division","TotalUnits_2015","TotalUnits_2016"
"1","BIG APPLE",180.833,231
"2","CHARGERS",123.6666,164.4999
"3","CONGRESSIONAL",164.5003,205
"4","DIAMONDBACK",153.3334,176.6667
"5","EMPIRE",414.3332,449.3332
"6","GRIDIRON",213.6673,246.1675
"7","GULF STREAM",185,301.0009
"8","HAILSTORM",187.8338,247.0003
"9","KINETIC",214.3334,244.5001
"10","MINUTEMEN",215,267.5
"11","MUDDY WATERS",150.6666,211.5004
"12","NORDIC",210.1675,225.8334
"13","NORTHWEST",135.5008,163.6669
"14","ORION",175.8334,276
"15","RACEWAY",178.3338,297
"16","REVOLUTION",205.8335,226.8334
"17","RIPTIDE",147.5002,183.8336
"18","SOUTHERN STAR",230,274.1665
"19","STAMPEDE",192.4999,246.8333
"20","SYNERGY",322.6666,428.3334
"21","THE CAROLINAS",258.8335,345
"22","TORNADO VALLEY",128.3331,181.0004
"23","VICTORY",174.5005,221.1669
"24","WAVE RIDER",173.4996,223.3332
"25","WOLVERINE",122.0002,143
"26","WRANGLER",206.1666,259.6666
